iter	RMSE
176	0.4355268601
177	0.4354543725
178	0.435369605
179	0.4352401625
180	0.4351533619
181	0.4351088592
182	0.4350496126
183	0.4349546943
184	0.4348992897
185	0.4348140358
186	0.4347559938
187	0.4346908337
188	0.4346661204
189	0.4346108055
190	0.4345360893
191	0.4344227726
192	0.4343454651
193	0.4342770368
194	0.4342233857
195	0.4341645853
196	0.4340565721
197	0.4339751704
198	0.4339229361
199	0.433881476
200	0.4338397227
201	0.4337777458
202	0.4337215268
203	0.4336500865
204	0.4335740374
205	0.4334754993
206	0.4334446382
207	0.4333777
208	0.4333224626
209	0.4332362903
210	0.4331373241
211	0.433099589
212	0.4330479199
213	0.4329351369
214	0.432875933
215	0.4327860002
216	0.4327245911
217	0.4326480886
218	0.4325681823
219	0.4324353007
220	0.432386582
221	0.4323409203
222	0.4322956916
223	0.4322394213
224	0.4322083814
225	0.4321362046
226	0.4321022374
227	0.4320587756
228	0.4319859793
229	0.4319229101
230	0.4318115478
231	0.4317728
232	0.4316839743
233	0.4316813994
234	0.4316368604
235	0.43159584
236	0.4315317986
237	0.4314517207
238	0.431391052
239	0.4313364387
240	0.4312718871
241	0.4311945737
242	0.4311502918
243	0.4310934419
244	0.4310164668
245	0.4309524333
246	0.4308901324
247	0.4307782613
248	0.4307102719
249	0.4306308964
250	0.4305361536
251	0.4305042373
252	0.4304671842
253	0.4304321752
254	0.4303818683
255	0.4303272132
256	0.4302887711
257	0.4301919462
258	0.4301252644
259	0.4300508385
260	0.4299958637
261	0.4299543799
262	0.4298642975
263	0.4298207475
264	0.4297725276
265	0.4297402925
266	0.4296829695
267	0.4296344962
268	0.429585673
269	0.4295496348
270	0.4295013958
271	0.4294618768
272	0.4293930891
273	0.4293595925
274	0.4292928107
275	0.4292413218
276	0.4291756829
277	0.4291170998
278	0.4290845684
279	0.4290542478
280	0.4289784132
281	0.4288826104
282	0.4288094748
283	0.4287513445
284	0.4287183818
285	0.4286485151
286	0.4285902636
287	0.4285553721
288	0.4284600467
289	0.4284116016
290	0.4283361372
291	0.4282864547
292	0.4282380404
293	0.4281832104
294	0.428123139
295	0.428042266
296	0.4279846566
297	0.4278825485
298	0.4277948183
299	0.4277075127
300	0.4276147115
301	0.4275114843
302	0.4274528848
303	0.4274019742
304	0.4273484851
305	0.4272562739
306	0.4271843187
307	0.4271046273
308	0.4270485472
309	0.4270203874
310	0.4269485903
311	0.4268726382
312	0.4268102879
313	0.4267587595
314	0.426709155
315	0.4266598861
316	0.4266109484
317	0.4265705477
318	0.4265170155
319	0.4264606846
320	0.426421225
321	0.4263829569
322	0.4263478758
323	0.4262620393
324	0.4261803459
325	0.426121714
326	0.4260850492
327	0.4260299994
328	0.4259812908
329	0.4259081305
330	0.425823928
331	0.4257660983
332	0.4256955983
333	0.4256635622
334	0.4256151597
335	0.4255325885
336	0.4254673411
337	0.4254214974
338	0.4253863116
339	0.4253173385
340	0.4252568355
341	0.4252441566
342	0.4251816161
343	0.4251692202
344	0.4251059551
345	0.425035428
346	0.4249644473
347	0.4249208269
348	0.4248744248
349	0.4248223246
350	0.4247573003
351	0.4247092891
352	0.4246514944
353	0.4245919973
354	0.4245357884
355	0.4244653054
356	0.4244115144
357	0.4243420508
358	0.4242804823
359	0.4242352442
360	0.4241558322
361	0.4241170764
362	0.4240824599
363	0.4240285217
364	0.4239945404
365	0.423933097
366	0.4239070593
367	0.4238193224
368	0.4237997634
369	0.4237630434
370	0.4237478958
371	0.4236972474
372	0.4236193705
373	0.4235398318
374	0.4234759401
375	0.4234094548
376	0.4233583317
377	0.4233174768
378	0.4232571995
379	0.4232011535
380	0.4231406026
381	0.4231098074
382	0.4230785836
383	0.4230274032
384	0.4230109085
385	0.4229687796
386	0.4229342148
387	0.4228825406
388	0.4228501815
389	0.4228083512
390	0.4227593853
391	0.4227295109
392	0.4226686495
393	0.4226283265
394	0.4225836104
395	0.4225437108
396	0.4224796009
397	0.4224362763
398	0.4223768037
399	0.4223313127
400	0.4222828546
401	0.4222397553
402	0.4222295855
403	0.4221979474
404	0.4221419781
405	0.4220525752
406	0.4219817712
407	0.4219414994
408	0.421913972
409	0.4218748792
410	0.4218465248
411	0.4217658503
412	0.4217436403
413	0.4216887717
414	0.4216606684
415	0.4216161713
416	0.4215429261
417	0.4215061899
418	0.4214521035
419	0.4214203466
420	0.4213684531
421	0.4213109578
422	0.421245386
423	0.4211996479
424	0.4211900509
425	0.4211266044
426	0.4210824656
427	0.4210370825
428	0.4210155079
429	0.4209583247
430	0.4209417756
431	0.420910115
432	0.4208793511
433	0.4208306781
434	0.4207020727
435	0.4206559217
436	0.4206237217
437	0.420546916
438	0.4205064105
439	0.420440399
440	0.4203891518
441	0.4203386313
442	0.4202904117
443	0.4202573599
444	0.4202140996
445	0.420161988
446	0.4200963835
447	0.4200418782
448	0.4200101258
449	0.4199726394
450	0.4199163157
451	0.4198640439
452	0.4198304032
453	0.4198043961
454	0.4197534595
455	0.4197216646
456	0.419632855
457	0.4195910159
458	0.4195475486
459	0.4195220783
460	0.4194504223
461	0.4193888615
462	0.4193495164
463	0.4193163355
464	0.4192888742
465	0.4192421775
466	0.4192071914
467	0.4191553078
468	0.4191008503
469	0.4190334955
470	0.4189946332
471	0.4189370325
472	0.4189009594
473	0.4188666931
474	0.4188195031
475	0.4187614523
476	0.4187285339
477	0.4187059817
478	0.4186817853
479	0.4186555326
480	0.4186302585
481	0.4185921231
482	0.4185403061
483	0.4185005073
484	0.4184476251
485	0.4184108011
486	0.4183789232
487	0.4183366588
488	0.4183102168
489	0.4182709394
490	0.4182244431
491	0.4181935778
492	0.4181405042
493	0.4181228354
494	0.4180261019
495	0.4179859135
496	0.417957247
497	0.4179017707
498	0.4178545318
499	0.4177397946
500	0.4177068995
501	0.4176595094
502	0.4176134199
503	0.4175737613
504	0.417544201
505	0.417493338
506	0.417395325
507	0.417371661
508	0.4173342532
509	0.4172952658
510	0.4172678506
511	0.4172263181
512	0.4171947081
513	0.4171610585
514	0.4171008811
515	0.4170693153
516	0.416971648
517	0.4169374063
518	0.4168946259
519	0.4168672224
520	0.4168362718
521	0.4168036413
522	0.416744216
523	0.4166610398
524	0.4166291192
525	0.4165832686
526	0.4165439837
527	0.416519182
528	0.4164913025
529	0.4164552268
530	0.4163939095
531	0.416341872
532	0.4162918988
533	0.4162525863
534	0.4162158896
535	0.41617199
536	0.4161485695
537	0.4161072848
538	0.4160250815
539	0.415972263
540	0.4159443353
541	0.4158950478
542	0.415883022
543	0.4158328957
544	0.4157791137
545	0.4157210375
546	0.4156711268
547	0.4156321504
548	0.4155953151
549	0.4155288148
550	0.4154751572
551	0.4154334603
552	0.4154013792
553	0.4153664077
554	0.415334706
555	0.4152980014
556	0.4152606844
557	0.4152112974
558	0.4151662342
559	0.4151268357
560	0.4151097979
561	0.4150866257
562	0.4150621169
563	0.4150301081
564	0.4149825442
565	0.4149406183
566	0.414891836
567	0.4148511494
568	0.4148079542
569	0.4147749973
570	0.4147457739
571	0.4147286521
572	0.4146739413
573	0.4146424156
574	0.4145731697
575	0.4145429038
576	0.4144895724
577	0.4144570888
578	0.4144357282
579	0.4144127322
580	0.4143662105
581	0.4143502189
582	0.4143270654
583	0.4143013173
584	0.4142457701
585	0.4141761035
586	0.4141484887
587	0.414112759
588	0.4140836406
589	0.4140366954
590	0.4140107569
591	0.4139803214
592	0.4139614871
593	0.41391426
594	0.4138647229
595	0.4138153968
596	0.4137828425
597	0.4137620536
598	0.4137194349
599	0.4136455194
600	0.4136152211
601	0.4135406293
602	0.4135001245
603	0.413477571
604	0.4134384371
605	0.4133920735
606	0.4133588707
607	0.4133308821
608	0.4133083941
609	0.4132826293
610	0.4132413766
611	0.4131985635
612	0.4131697588
613	0.4131472951
614	0.4131157382
615	0.41307846
616	0.4130305111
617	0.4129843067
618	0.412933219
619	0.4128890079
620	0.4128531073
621	0.412841509
622	0.4127705912
623	0.4127486767
624	0.412680283
625	0.4126662659
626	0.4126351452
627	0.4125932857
628	0.4125511621
629	0.4125247828
630	0.4124783593
631	0.4124384344
632	0.412385218
633	0.4123471897
634	0.4123205625
635	0.412285091
636	0.4122538978
637	0.4122355065
638	0.412200359
639	0.4121757711
640	0.4121359437
641	0.4120885155
642	0.4120324708
643	0.411983132
644	0.4119436981
645	0.4118990071
646	0.4118657797
647	0.4118393484
648	0.4117988712
649	0.4117507312
650	0.411734963
651	0.4116951131
652	0.4116488842
653	0.4116045761
654	0.4115623777
655	0.4115306387
656	0.4114993128
657	0.4114797482
658	0.4114208553
659	0.4113685396
660	0.4113246491
661	0.4112988209
662	0.4112168701
663	0.4111518779
664	0.4111274982
665	0.4110900932
666	0.411054625
667	0.4110366316
668	0.4110290521
669	0.4109755183
670	0.4109244249
671	0.4109024817
672	0.4108781609
673	0.4108282678
674	0.4108080541
675	0.4107888409
676	0.4107740526
677	0.4107565434
678	0.4107468262
679	0.4107047324
680	0.4106834721
681	0.4106577975
682	0.4106428939
683	0.4106152732
684	0.4105856854
685	0.4105446235
686	0.4105089239
687	0.410476433
688	0.4104473391
689	0.4104221335
690	0.4103985864
691	0.4103448012
692	0.4103217069
693	0.4102972416
694	0.4102767406
695	0.4102386505
696	0.4102233165
697	0.4101627393
698	0.4101134611
699	0.4100864473
700	0.4100219417
701	0.4100099929
702	0.4099697087
703	0.4099348919
704	0.4098910866
705	0.4098639754
706	0.4098485028
707	0.4098148399
708	0.4098061146
709	0.4097548383
710	0.409736649
711	0.4096793866
712	0.4096506488
713	0.4095744054
714	0.4095285714
715	0.4095102327
716	0.4094547685
717	0.4094272799
718	0.4093807354
719	0.4093402776
720	0.409317091
721	0.4092745421
722	0.4092475832
723	0.4092201494
724	0.409180706
725	0.4091367747
726	0.4091087219
727	0.4090917624
728	0.4090672736
729	0.4090183143
730	0.4089945854
731	0.4089386913
732	0.4089128524
733	0.4088924897
734	0.40885002
735	0.4088099238
736	0.4087980292
737	0.4087563747
738	0.4087186621
739	0.4087017553
740	0.4086616099
741	0.4086382736
742	0.4086150318
743	0.4085983064
744	0.4085877535
745	0.4085678195
746	0.4085335738
747	0.4084948862
748	0.408472355
749	0.4084339287
750	0.4084054531
751	0.4083713244
752	0.4083354151
753	0.4082917521
754	0.4082638484
755	0.4082263509
756	0.4081800199
757	0.4081639451
758	0.4081444863
759	0.4081119032
760	0.4080660019
761	0.4080292706
762	0.4079933516
763	0.4079759888
764	0.4079282679
765	0.4079114293
766	0.4078632808
767	0.4078415487
768	0.4078192929
769	0.4077827376
770	0.4077607373
771	0.4077398188
772	0.4077243712
773	0.4077083608
774	0.4076839599
775	0.4076426262
776	0.407618337
777	0.4075875984
778	0.4075538083
779	0.407530118
780	0.407501883
781	0.4074752566
782	0.4074409212
783	0.4074224817
784	0.4073733217
785	0.4073366755
786	0.4072891622
787	0.4072386016
788	0.4072227812
789	0.40719882
790	0.4071650752
791	0.4071204789
792	0.407106436
793	0.4070555518
794	0.4070310391
795	0.406990373
796	0.4069692813
797	0.406940158
798	0.4069046564
799	0.4068666894
800	0.4068400187
801	0.4068034281
802	0.4067262297
803	0.4067095547
804	0.4066852969
805	0.4066624544
806	0.4066375215
807	0.4066198939
808	0.4065895115
809	0.4065535593
810	0.4065392557
811	0.406520689
812	0.4065111874
813	0.4064843236
814	0.4064452827
815	0.4064093399
816	0.4063836851
817	0.4063664827
818	0.4063198139
819	0.4062927036
820	0.4062773542
821	0.4062456981
822	0.4062221469
823	0.4061959487
824	0.4061599504
825	0.4061289849
826	0.4061154789
827	0.4060744064
828	0.4060352568
829	0.4060126881
830	0.4059757448
831	0.4059397838
832	0.4059237174
833	0.405890754
834	0.4058476249
835	0.4058280182
836	0.4057965015
837	0.4057784499
838	0.4057573785
839	0.4057219538
840	0.4056853997
841	0.4056503056
842	0.4056205991
843	0.4055643159
844	0.4055456646
845	0.4055129711
846	0.4054959658
847	0.4054766235
848	0.4054337312
849	0.4054165469
