iter	Passed	Remaining
615	3403	1292
616	3409	1287
617	3414	1281
618	3420	1276
619	3425	1270
620	3431	1265
621	3436	1259
622	3442	1254
623	3447	1248
624	3453	1243
625	3458	1237
626	3464	1232
627	3469	1226
628	3475	1221
629	3481	1215
630	3486	1210
631	3492	1204
632	3497	1198
633	3502	1193
634	3507	1187
635	3513	1182
636	3519	1176
637	3524	1171
638	3529	1165
639	3534	1159
640	3539	1154
641	3544	1148
642	3550	1143
643	3556	1137
644	3561	1132
645	3567	1126
646	3572	1121
647	3578	1115
648	3583	1109
649	3588	1104
650	3595	1098
651	3600	1093
652	3606	1087
653	3611	1082
654	3617	1076
655	3622	1071
656	3627	1065
657	3633	1060
658	3639	1054
659	3645	1049
660	3651	1043
661	3656	1038
662	3661	1032
663	3667	1027
664	3672	1021
665	3677	1016
666	3683	1010
667	3688	1005
668	3693	999
669	3700	994
670	3705	988
671	3711	983
672	3717	977
673	3724	972
674	3729	967
675	3735	961
676	3740	955
677	3746	950
678	3751	944
679	3756	939
680	3762	933
681	3767	928
682	3773	922
683	3779	917
684	3785	911
685	3790	906
686	3795	900
687	3800	894
688	3806	889
689	3811	883
690	3817	878
691	3822	872
692	3828	867
693	3833	861
694	3838	856
695	3843	850
696	3849	844
697	3854	839
698	3860	833
699	3865	828
700	3870	822
701	3876	817
702	3881	811
703	3887	806
704	3893	800
705	3898	795
706	3903	789
707	3908	783
708	3913	778
709	3919	772
710	3923	767
711	3929	761
712	3935	756
713	3941	750
714	3946	745
715	3951	739
716	3956	733
717	3961	728
718	3967	722
719	3972	717
720	3978	711
721	3983	706
722	3988	700
723	3994	695
724	3999	689
725	4005	684
726	4011	678
727	4016	673
728	4021	667
729	4026	661
730	4031	656
731	4037	650
732	4043	645
733	4048	639
734	4054	634
735	4059	628
736	4065	623
737	4070	617
738	4076	612
739	4081	606
740	4087	601
741	4093	595
742	4098	590
743	4104	584
744	4109	579
745	4115	573
746	4121	568
747	4127	562
748	4132	557
749	4137	551
750	4143	546
751	4149	540
752	4154	535
753	4160	529
754	4166	524
755	4171	518
756	4177	513
757	4182	507
758	4188	502
759	4193	496
760	4198	491
761	4204	485
762	4209	479
763	4214	474
764	4219	468
765	4224	463
766	4230	457
767	4235	452
768	4241	446
769	4246	441
770	4252	435
771	4256	430
772	4262	424
773	4268	419
774	4273	413
775	4278	407
776	4283	402
777	4289	396
778	4294	391
779	4300	385
780	4305	380
781	4310	374
782	4316	369
783	4321	363
784	4327	358
785	4333	352
786	4338	347
787	4344	341
788	4350	336
789	4355	330
790	4361	325
791	4366	319
792	4371	314
793	4377	308
794	4382	303
795	4387	297
796	4393	292
797	4398	286
798	4403	281
799	4408	275
800	4414	270
801	4419	264
802	4424	258
803	4430	253
804	4435	247
805	4440	242
806	4446	236
807	4451	231
808	4456	225
809	4462	220
810	4467	214
811	4472	209
812	4478	203
813	4482	198
814	4488	192
815	4494	187
816	4499	181
817	4504	176
818	4510	170
819	4516	165
820	4521	159
821	4526	154
822	4532	148
823	4538	143
824	4544	137
825	4550	132
826	4556	126
827	4561	121
828	4566	115
829	4571	110
830	4577	104
831	4582	99
832	4588	93
833	4593	88
834	4598	82
835	4604	77
836	4609	71
837	4615	66
838	4620	60
839	4625	55
840	4630	49
841	4636	44
842	4642	38
843	4648	33
844	4653	27
845	4658	22
846	4663	16
847	4668	11
848	4673	5
849	4679	0
